,Seller_Type,Seller_Type_Code
0,Dealer,0
1,Dealer,0
2,Dealer,0
3,Dealer,0
4,Dealer,0
5,Dealer,0
6,Dealer,0
7,Dealer,0
8,Dealer,0
9,Dealer,0
10,Dealer,0
11,Dealer,0
12,Dealer,0
13,Dealer,0
14,Dealer,0
15,Dealer,0
16,Dealer,0
17,Dealer,0
18,Dealer,0
19,Dealer,0
20,Dealer,0
21,Dealer,0
22,Dealer,0
23,Dealer,0
24,Dealer,0
25,Dealer,0
26,Dealer,0
27,Individual,1
28,Dealer,0
29,Dealer,0
30,Dealer,0
31,Dealer,0
32,Dealer,0
33,Dealer,0
34,Dealer,0
35,Dealer,0
36,Dealer,0
37,Individual,1
38,Dealer,0
39,Dealer,0
40,Dealer,0
41,Dealer,0
42,Dealer,0
43,Dealer,0
44,Dealer,0
45,Dealer,0
46,Dealer,0
47,Dealer,0
48,Dealer,0
49,Dealer,0
50,Dealer,0
51,Dealer,0
52,Dealer,0
53,Individual,1
54,Individual,1
55,Dealer,0
56,Dealer,0
57,Dealer,0
58,Dealer,0
59,Dealer,0
60,Dealer,0
61,Dealer,0
62,Dealer,0
63,Dealer,0
64,Dealer,0
65,Dealer,0
66,Dealer,0
67,Dealer,0
68,Dealer,0
69,Dealer,0
70,Dealer,0
71,Dealer,0
72,Dealer,0
73,Dealer,0
74,Dealer,0
75,Dealer,0
76,Dealer,0
77,Dealer,0
78,Dealer,0
79,Dealer,0
80,Dealer,0
81,Dealer,0
82,Dealer,0
83,Dealer,0
84,Dealer,0
85,Individual,1
86,Dealer,0
87,Dealer,0
88,Dealer,0
89,Dealer,0
90,Dealer,0
91,Dealer,0
92,Dealer,0
93,Dealer,0
94,Dealer,0
95,Dealer,0
96,Dealer,0
97,Dealer,0
98,Dealer,0
99,Dealer,0
100,Individual,1
101,Individual,1
102,Individual,1
103,Individual,1
104,Individual,1
105,Individual,1
106,Individual,1
107,Individual,1
108,Individual,1
109,Individual,1
110,Individual,1
111,Individual,1
112,Individual,1
113,Individual,1
114,Individual,1
115,Individual,1
116,Individual,1
117,Individual,1
118,Individual,1
119,Individual,1
120,Individual,1
121,Individual,1
122,Individual,1
123,Individual,1
124,Individual,1
125,Individual,1
126,Individual,1
127,Individual,1
128,Individual,1
129,Individual,1
130,Individual,1
131,Individual,1
132,Individual,1
133,Individual,1
134,Individual,1
135,Individual,1
136,Individual,1
137,Individual,1
138,Individual,1
139,Individual,1
140,Individual,1
141,Individual,1
142,Individual,1
143,Individual,1
144,Individual,1
145,Individual,1
146,Individual,1
147,Individual,1
148,Individual,1
149,Individual,1
150,Individual,1
151,Individual,1
152,Individual,1
153,Individual,1
154,Individual,1
155,Individual,1
156,Individual,1
157,Individual,1
158,Individual,1
159,Individual,1
160,Individual,1
161,Individual,1
162,Individual,1
163,Individual,1
164,Individual,1
165,Individual,1
166,Individual,1
167,Individual,1
168,Individual,1
169,Individual,1
170,Individual,1
171,Individual,1
172,Individual,1
173,Individual,1
174,Individual,1
175,Individual,1
176,Individual,1
177,Individual,1
178,Individual,1
179,Individual,1
180,Individual,1
181,Individual,1
182,Individual,1
183,Individual,1
184,Individual,1
185,Individual,1
186,Individual,1
187,Individual,1
188,Individual,1
189,Individual,1
190,Individual,1
191,Individual,1
192,Individual,1
193,Individual,1
194,Individual,1
195,Individual,1
196,Individual,1
197,Individual,1
198,Individual,1
199,Individual,1
200,Individual,1
201,Dealer,0
202,Dealer,0
203,Dealer,0
204,Dealer,0
205,Dealer,0
206,Dealer,0
207,Dealer,0
208,Dealer,0
209,Dealer,0
210,Dealer,0
211,Dealer,0
212,Dealer,0
213,Dealer,0
214,Dealer,0
215,Dealer,0
216,Dealer,0
217,Dealer,0
218,Dealer,0
219,Dealer,0
220,Dealer,0
221,Dealer,0
222,Dealer,0
223,Dealer,0
224,Dealer,0
225,Dealer,0
226,Dealer,0
227,Dealer,0
228,Dealer,0
229,Dealer,0
230,Dealer,0
231,Dealer,0
232,Dealer,0
233,Dealer,0
234,Dealer,0
235,Dealer,0
236,Dealer,0
237,Dealer,0
238,Dealer,0
239,Dealer,0
240,Dealer,0
241,Dealer,0
242,Dealer,0
243,Dealer,0
244,Dealer,0
245,Dealer,0
246,Dealer,0
247,Dealer,0
248,Dealer,0
249,Dealer,0
250,Dealer,0
251,Dealer,0
252,Dealer,0
253,Dealer,0
254,Dealer,0
255,Dealer,0
256,Dealer,0
257,Dealer,0
258,Dealer,0
259,Dealer,0
260,Dealer,0
261,Dealer,0
262,Dealer,0
263,Dealer,0
264,Dealer,0
265,Dealer,0
266,Dealer,0
267,Dealer,0
268,Dealer,0
269,Dealer,0
270,Dealer,0
271,Dealer,0
272,Dealer,0
273,Dealer,0
274,Dealer,0
275,Dealer,0
276,Dealer,0
277,Dealer,0
278,Dealer,0
279,Dealer,0
280,Dealer,0
281,Dealer,0
282,Dealer,0
283,Dealer,0
284,Dealer,0
285,Dealer,0
286,Dealer,0
287,Dealer,0
288,Dealer,0
289,Dealer,0
290,Dealer,0
291,Dealer,0
292,Dealer,0
293,Dealer,0
294,Dealer,0
295,Dealer,0
296,Dealer,0
297,Dealer,0
298,Dealer,0
299,Dealer,0
300,Dealer,0
